Overriding config with config/train_shakespeare_char_cpu.py:
# Tiny char-level GPT sized for a CPU-only Intel Mac.
# Trains in roughly 10-15 minutes and produces recognisably Shakespeare-ish text.
# Run: python train.py config/train_shakespeare_char_cpu.py

out_dir = 'out-shakespeare-char-cpu'
eval_interval = 250
eval_iters = 50
log_interval = 10

always_save_checkpoint = False  # only save when val loss improves

wandb_log = False

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 32
block_size = 64  # context length: how many characters of history

# a baby GPT: ~0.8M params
n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.0

learning_rate = 1e-3
max_iters = 2000
lr_decay_iters = 2000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'cpu'
compile = False  # torch.compile has no speed benefit here and is slow to warm up

# train.py defaults dtype to float16 when no CUDA bf16 is present, which then
# switches on a CUDA GradScaler that cannot work on this machine. Force float32.
dtype = 'float32'

tokens per iteration will be: 2,048
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
iter 1190: loss 1.6640, time 160.40ms, mfu 0.02%
iter 1200: loss 1.6701, time 112.46ms, mfu 0.02%
iter 1210: loss 1.6708, time 111.74ms, mfu 0.03%
iter 1220: loss 1.7457, time 112.98ms, mfu 0.03%
iter 1230: loss 1.6935, time 130.44ms, mfu 0.03%
iter 1240: loss 1.7397, time 121.91ms, mfu 0.03%
step 1250: train loss 1.6734, val loss 1.8288
saving checkpoint to out-shakespeare-char-cpu
iter 1250: loss 1.6918, time 2823.32ms, mfu 0.02%
iter 1260: loss 1.6141, time 166.25ms, mfu 0.02%
iter 1270: loss 1.6169, time 155.51ms, mfu 0.02%
iter 1280: loss 1.6812, time 132.46ms, mfu 0.02%
iter 1290: loss 1.6294, time 119.40ms, mfu 0.02%
iter 1300: loss 1.6501, time 117.09ms, mfu 0.02%
iter 1310: loss 1.6372, time 121.17ms, mfu 0.02%
iter 1320: loss 1.6436, time 106.41ms, mfu 0.03%
iter 1330: loss 1.7007, time 146.10ms, mfu 0.03%
iter 1340: loss 1.6498, time 120.42ms, mfu 0.03%
iter 1350: loss 1.6113, time 280.72ms, mfu 0.02%
iter 1360: loss 1.6094, time 115.60ms, mfu 0.02%
iter 1370: loss 1.6241, time 132.81ms, mfu 0.02%
iter 1380: loss 1.6212, time 113.11ms, mfu 0.03%
iter 1390: loss 1.6014, time 151.55ms, mfu 0.03%
iter 1400: loss 1.6483, time 135.05ms, mfu 0.03%
iter 1410: loss 1.7233, time 138.45ms, mfu 0.02%
iter 1420: loss 1.6558, time 134.13ms, mfu 0.03%
iter 1430: loss 1.6419, time 121.69ms, mfu 0.03%
iter 1440: loss 1.6852, time 113.73ms, mfu 0.03%
iter 1450: loss 1.6195, time 109.78ms, mfu 0.03%
iter 1460: loss 1.6496, time 97.29ms, mfu 0.03%
iter 1470: loss 1.6803, time 103.75ms, mfu 0.03%
iter 1480: loss 1.6131, time 100.47ms, mfu 0.03%
iter 1490: loss 1.6101, time 99.97ms, mfu 0.03%
step 1500: train loss 1.6002, val loss 1.7887
saving checkpoint to out-shakespeare-char-cpu
iter 1500: loss 1.5871, time 2301.25ms, mfu 0.03%
iter 1510: loss 1.6114, time 120.87ms, mfu 0.03%
iter 1520: loss 1.5484, time 100.10ms, mfu 0.03%
iter 1530: loss 1.5447, time 100.56ms, mfu 0.03%
iter 1540: loss 1.6137, time 100.17ms, mfu 0.03%
iter 1550: loss 1.6163, time 96.68ms, mfu 0.03%
iter 1560: loss 1.6272, time 97.32ms, mfu 0.03%
iter 1570: loss 1.5720, time 103.89ms, mfu 0.03%
iter 1580: loss 1.5237, time 95.32ms, mfu 0.03%
iter 1590: loss 1.6396, time 98.91ms, mfu 0.03%
iter 1600: loss 1.5445, time 98.33ms, mfu 0.03%
iter 1610: loss 1.6124, time 115.49ms, mfu 0.03%
iter 1620: loss 1.5832, time 106.61ms, mfu 0.03%
iter 1630: loss 1.5942, time 97.45ms, mfu 0.03%
iter 1640: loss 1.5872, time 92.37ms, mfu 0.03%
iter 1650: loss 1.5171, time 99.05ms, mfu 0.03%
iter 1660: loss 1.6417, time 98.89ms, mfu 0.03%
iter 1670: loss 1.6091, time 115.53ms, mfu 0.03%
iter 1680: loss 1.5259, time 97.90ms, mfu 0.03%
iter 1690: loss 1.6571, time 98.94ms, mfu 0.03%
iter 1700: loss 1.6032, time 92.99ms, mfu 0.03%
iter 1710: loss 1.7208, time 97.14ms, mfu 0.03%
iter 1720: loss 1.6457, time 97.18ms, mfu 0.03%
iter 1730: loss 1.6376, time 112.70ms, mfu 0.03%
iter 1740: loss 1.6126, time 94.06ms, mfu 0.03%
step 1750: train loss 1.5726, val loss 1.7488
saving checkpoint to out-shakespeare-char-cpu
iter 1750: loss 1.5028, time 2217.56ms, mfu 0.03%
iter 1760: loss 1.5203, time 104.46ms, mfu 0.03%
iter 1770: loss 1.6315, time 96.16ms, mfu 0.03%
iter 1780: loss 1.5158, time 95.82ms, mfu 0.03%
iter 1790: loss 1.6142, time 92.69ms, mfu 0.03%
iter 1800: loss 1.6196, time 124.48ms, mfu 0.03%
iter 1810: loss 1.5733, time 122.24ms, mfu 0.03%
iter 1820: loss 1.5765, time 90.36ms, mfu 0.03%
iter 1830: loss 1.5820, time 95.96ms, mfu 0.03%
iter 1840: loss 1.5474, time 95.61ms, mfu 0.03%
iter 1850: loss 1.5247, time 93.29ms, mfu 0.03%
iter 1860: loss 1.5515, time 116.10ms, mfu 0.03%
iter 1870: loss 1.5054, time 95.10ms, mfu 0.03%
iter 1880: loss 1.5407, time 95.18ms, mfu 0.03%
iter 1890: loss 1.5155, time 91.35ms, mfu 0.03%
iter 1900: loss 1.5526, time 97.46ms, mfu 0.03%
iter 1910: loss 1.4835, time 102.46ms, mfu 0.03%
iter 1920: loss 1.4809, time 91.32ms, mfu 0.03%
iter 1930: loss 1.5010, time 93.88ms, mfu 0.03%
iter 1940: loss 1.5559, time 97.45ms, mfu 0.03%
iter 1950: loss 1.5806, time 99.49ms, mfu 0.03%
iter 1960: loss 1.6073, time 97.14ms, mfu 0.03%
iter 1970: loss 1.5888, time 99.45ms, mfu 0.03%
iter 1980: loss 1.5664, time 91.11ms, mfu 0.03%
iter 1990: loss 1.5461, time 98.00ms, mfu 0.03%
step 2000: train loss 1.5478, val loss 1.7311
saving checkpoint to out-shakespeare-char-cpu
iter 2000: loss 1.4722, time 2168.88ms, mfu 0.03%
